City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Bengkulu,ID,-3.8004,102.2655,73.31,93,100,7.83,1611619698
Corinth,GR,37.9407,22.9573,48.99,61,100,1.99,1611619927
Lompoc,US,34.6391,-120.4579,51.8,58,20,31.07,1611619868
Amudat,UG,1.95,34.95,65.19,68,20,3.38,1611619927
Los Llanos de Aridane,ES,28.6585,-17.9182,66.2,68,90,9.22,1611619927
Fort Frances,CA,48.5999,-93.4003,-4.0,77,20,3.44,1611619927
Sisimiut,GL,66.9395,-53.6735,11.61,94,98,2.66,1611619927
Broome,US,42.2506,-75.833,25.0,58,1,2.75,1611619927
Sjøvegan,NO,68.8726,17.8474,19.0,84,1,6.08,1611619927
Leiyang,CN,26.4024,112.8591,44.24,78,87,3.85,1611619816
Katsuura,JP,35.1333,140.3,50.0,70,75,10.36,1611619928
Henties Bay,NA,-22.116,14.2845,69.01,89,89,7.25,1611619928
Soyo,AO,-6.1349,12.3689,79.0,84,87,5.66,1611619928
Mahajanga,MG,-15.7167,46.3167,75.2,94,40,3.44,1611619928
Sitka,US,57.0531,-135.33,37.4,70,40,2.44,1611619902
Chui,UY,-33.6971,-53.4616,74.01,85,3,10.38,1611619928
Yulara,AU,-25.2406,130.9889,87.8,48,75,1.14,1611619928
Bolivar,US,37.6145,-93.4105,48.99,93,77,14.23,1611619928
Tootsi,EE,58.5781,24.7925,35.01,99,100,3.71,1611619928
Poltavka,RU,54.3663,71.7632,1.2,94,97,5.99,1611619929
Saint George,US,37.1041,-113.5841,36.0,93,90,5.75,1611619651
Gondanglegi,ID,-7.7479,112.0132,78.35,75,96,2.37,1611619929
Tilichiki,RU,60.4667,166.1,2.41,91,100,10.96,1611619929
Sinnamary,GF,5.3833,-52.95,77.14,87,50,12.19,1611619929
Ponte Nova,BR,-20.4164,-42.9086,70.43,88,74,2.13,1611619929
Cockburn Town,TC,21.4612,-71.1419,77.0,73,40,16.11,1611619929
Cidreira,BR,-30.1811,-50.2056,76.41,84,47,9.93,1611619929
Havelock,US,34.8791,-76.9013,48.99,95,100,3.0,1611619930
Ghanzi,BW,-21.5667,21.7833,68.63,83,100,17.6,1611619930
Igarka,RU,67.4667,86.5833,-40.79,78,55,10.31,1611619930
Alugan,PH,12.2188,125.4808,80.13,72,99,7.63,1611619930
Vila Velha,BR,-20.3297,-40.2925,84.0,78,20,4.61,1611619930
Port Hardy,CA,50.6996,-127.4199,39.2,75,75,6.91,1611619930
Kamenka,RU,51.3223,42.7678,33.37,94,94,16.35,1611619698
Jalu,LY,29.0331,21.5482,52.84,42,70,2.59,1611619929
Mollendo,PE,-17.0231,-72.0147,70.97,75,4,6.31,1611619930
La Santisima Trinidad,BO,-14.8333,-64.9,84.2,79,40,3.36,1611619930
Kushmurun,KZ,52.4503,64.6311,17.19,96,24,6.53,1611619931
Bambous Virieux,MU,-20.3428,57.7575,75.0,94,20,5.75,1611619931
Severo-Kuril'sk,RU,50.6789,156.125,21.02,94,92,21.65,1611619931
Clarence Town,AU,-32.5833,151.7833,91.99,40,0,9.22,1611619931
Tongliao,CN,43.6125,122.2653,7.88,89,0,7.76,1611619931
Nioro,GM,13.35,-15.75,69.28,24,0,3.65,1611619931
Portland,US,45.5234,-122.6762,44.01,70,75,3.44,1611619374
Port Alfred,ZA,-33.5906,26.891,63.0,93,2,5.01,1611619931
Flin Flon,CA,54.7682,-101.865,-16.6,69,1,6.91,1611619931
Sharan,RU,54.8167,54.0,25.52,97,100,11.52,1611619932
Tessalit,ML,20.1986,1.0114,63.21,21,41,9.73,1611619932
Pyshma,RU,56.9523,63.2513,29.48,98,100,11.54,1611619932
Hot Springs,US,34.5037,-93.0552,64.4,48,1,18.41,1611619932
Port Blair,IN,11.6667,92.75,73.17,81,72,8.37,1611619932
Concepción del Uruguay,AR,-32.4825,-58.2372,87.01,41,3,1.99,1611619857
Ballina,AU,-28.8667,153.5667,81.0,61,40,9.22,1611619860
San Andrés,CO,12.5847,-81.7006,80.6,78,20,11.5,1611619932
Upernavik,GL,72.7868,-56.1549,4.91,79,0,3.94,1611619932
Kikwit,CD,-5.041,18.8162,67.93,96,90,1.79,1611619933
Kumo,NG,10.0447,11.2122,69.67,22,7,8.95,1611619933
San Patricio,US,28.017,-97.5169,78.8,57,1,8.05,1611619933
Khilok,RU,51.3674,110.4676,-6.32,88,100,9.95,1611619933
Hamilton,US,39.1834,-84.5333,35.01,94,100,1.01,1611619933
Sola,VU,-13.8833,167.55,82.98,79,97,21.21,1611619933
Clyde River,CA,70.4692,-68.5914,6.8,92,1,31.07,1611619933
Alexandria,EG,31.2156,29.9553,50.0,93,0,3.44,1611619933
Gorontalo,ID,0.5412,123.0595,78.06,79,100,0.72,1611619721
Garoowe,SO,8.4054,48.4845,62.4,86,15,9.71,1611619934
Khandyga,RU,62.6667,135.6,-54.65,60,0,1.45,1611619934
Chapais,CA,49.7834,-74.8492,-2.2,84,1,3.22,1611619934
Hofn,IS,64.2539,-15.2082,23.76,89,67,17.54,1611619934
Meulaboh,ID,4.1363,96.1285,75.67,85,90,4.23,1611619934
Aykhal,RU,66.0,111.5,-38.07,78,40,2.3,1611619698
Chabahar,IR,25.2919,60.643,62.6,57,0,3.44,1611619934
Muli,MV,2.9167,73.5667,81.1,78,99,14.81,1611619934
San Rafael,AR,-34.6177,-68.3301,87.67,13,32,12.53,1611619934
Águas Formosas,BR,-17.0822,-40.9358,71.38,86,58,4.34,1611619935
Caravelas,BR,-17.7125,-39.2481,75.54,84,88,3.15,1611619935
Talnakh,RU,69.4865,88.3972,-30.08,82,100,9.69,1611619935
Caraballeda,VE,10.6112,-66.8522,76.26,76,97,8.32,1611619935
Bilma,NE,18.6853,12.9164,58.89,27,0,5.55,1611619935
Keningau,MY,5.3378,116.1602,77.0,88,20,5.75,1611619935
Kaitangata,NZ,-46.2817,169.8464,77.07,43,100,15.61,1611619935
Russell,US,32.3502,-85.1999,69.8,64,1,9.22,1611619935
Cabedelo,BR,-6.9811,-34.8339,78.8,78,20,9.22,1611619935
Xiaoweizhai,CN,26.1903,107.5125,43.66,82,100,4.18,1611619935
Bontang,ID,0.1333,117.5,77.68,82,100,3.71,1611619936
Tenosique,MX,17.4833,-91.4333,84.2,74,1,6.51,1611619936
Maceió,BR,-9.6658,-35.7353,77.0,83,75,12.66,1611619723
Karpogory,RU,64.0019,44.4451,34.83,97,100,7.94,1611619936
Saint Paul Harbor,US,57.79,-152.4072,39.2,65,90,9.22,1611619936
Taganak,PH,6.0833,118.3,77.0,94,20,3.44,1611619936
Cherskiy,RU,68.75,161.3,-36.65,82,61,2.21,1611619936
Guangyuan,CN,32.442,105.823,28.99,73,38,2.51,1611619936
San Fernando del Valle de Catamarca,AR,-28.4696,-65.7852,81.0,55,95,1.99,1611619936
Springdale,US,36.1867,-94.1288,50.0,100,90,11.5,1611619889
Kjøpsvik,NO,68.097,16.3742,28.99,85,1,2.3,1611619937
Tocopilla,CL,-22.092,-70.1979,69.6,67,12,11.92,1611619937
Wagar,SD,16.1525,36.2032,68.09,86,40,13.85,1611619937
Forsytheganj,BY,52.6333,29.7333,41.13,93,100,16.06,1611619937
Port Montt,CL,-41.4698,-72.9447,57.2,62,20,8.05,1611619937
Iqaluit,CA,63.7506,-68.5145,1.4,78,1,11.5,1611619937
Prainha,BR,-1.8,-53.48,76.84,87,81,3.44,1611619937
Las Palmas,ES,28.4204,-14.0131,64.4,72,90,12.66,1611619937
Pacho,CO,5.1328,-74.1598,59.0,58,20,4.61,1611619937
Poum,NC,-20.2333,164.0167,79.66,79,100,19.3,1611619937
Broken Hill,AU,-31.95,141.4333,75.2,88,90,2.3,1611619938
Coquimbo,CL,-29.9533,-71.3436,62.6,82,40,8.05,1611619938
Sungai Penuh,ID,-2.0833,101.3833,62.92,97,100,0.45,1611619938
Puerto Quijarro,BO,-17.7833,-57.7667,78.93,78,100,1.28,1611619938
Puerto Madero,MX,14.7208,-92.4215,82.4,74,20,3.44,1611619938
St. George's,GD,12.0564,-61.7485,78.8,78,20,14.97,1611619827
Dawei,MM,14.0833,98.2,68.16,80,0,2.75,1611619938
Gwadar,PK,25.1216,62.3254,64.26,28,0,7.4,1611619938
Ulagan,RU,50.6321,87.9563,-5.57,83,100,1.3,1611619938
Necoclí,CO,8.4234,-76.786,78.53,87,75,7.74,1611619939
Belmonte,BR,-15.8631,-38.8828,78.8,73,40,9.22,1611619939
Jangipur,IN,24.4667,88.0667,55.33,55,0,4.25,1611619939
Hervey Bay,AU,-25.2986,152.8535,82.99,60,8,4.0,1611619930
Puerto Cabezas,NI,14.0351,-83.3888,82.4,89,40,4.61,1611619939
Dingle,PH,10.9995,122.6711,75.4,84,87,9.64,1611619939
Orange Cove,US,36.6244,-119.3137,46.4,76,90,5.75,1611619939
Sørland,NO,67.667,12.6934,37.49,80,93,24.36,1611619939
Formosa do Rio Preto,BR,-11.0483,-45.1931,74.75,62,22,4.65,1611619939
Juegang,CN,32.3174,121.1855,48.99,94,100,6.4,1611619939
Green River,US,41.5286,-109.4662,21.2,86,90,9.22,1611619853
Ust'-Ishim,RU,57.6935,71.1665,-9.85,90,100,7.99,1611619940
Smirnykh,RU,49.75,142.8333,-8.9,80,19,1.72,1611619940
Guaymas,MX,27.9333,-110.9,64.4,55,1,11.5,1611619940
Elko,US,41.0002,-115.5012,32.0,79,99,5.01,1611619940
Roboré,BO,-18.3333,-59.75,78.8,89,75,4.85,1611619940
Ngunguru,NZ,-35.6167,174.5,84.0,54,2,4.0,1611619940
Omboué,GA,-1.5746,9.2618,78.24,85,98,3.87,1611619940
Kisangani,CD,0.5167,25.2,69.46,97,100,2.35,1611619941
Byron Bay,AU,-28.65,153.6167,81.0,61,40,9.22,1611619746
Seoul,KR,37.5683,126.9778,41.0,81,90,2.3,1611619794
Coyhaique,CL,-45.5752,-72.0662,50.0,53,75,9.22,1611619941
Ponazyrevo,RU,58.3578,46.3142,28.58,98,100,6.44,1611619941
Baruun-Urt,MN,46.6806,113.2792,-8.9,83,1,12.21,1611619941
Wilmington,US,34.2257,-77.9447,52.0,93,90,5.75,1611619512
Alofi,NU,-19.0595,-169.9187,82.4,73,90,10.36,1611619941
Havre-St-Pierre,CA,50.2334,-63.5986,33.8,69,90,17.27,1611619942
Nabire,ID,-3.3667,135.4833,84.83,67,73,0.78,1611619942
Dauriya,RU,49.9333,116.8667,-12.82,89,59,11.74,1611619942
Mossamedes,AO,-15.1961,12.1522,75.4,75,12,5.28,1611619942
Sumbe,AO,-11.2061,13.8437,76.23,81,14,5.08,1611619942
Dąbrowa Tarnowska,PL,50.1746,20.9863,33.01,94,100,1.99,1611619942
Yeppoon,AU,-23.1333,150.7333,86.0,54,40,5.75,1611619942
Kagay,PH,6.0088,120.9074,81.39,79,85,3.56,1611619942
Tabou,CI,4.423,-7.3528,77.92,87,0,7.23,1611619942
Deputatsky,RU,69.3,139.9,-41.98,83,71,1.72,1611619943
Verkh-Usugli,RU,52.7,115.1667,-10.1,88,100,4.59,1611619943
Samarai,PG,-10.6167,150.6667,84.96,67,64,4.21,1611619943
East London,ZA,-33.0153,27.9116,70.54,76,37,20.0,1611619943
Pimenta Bueno,BR,-11.6725,-61.1936,75.18,93,93,3.02,1611619943
Ribeira Grande,PT,38.5167,-28.7,62.06,88,100,20.98,1611619943
Sioux Lookout,CA,50.1001,-91.917,-7.6,77,20,3.44,1611619788
Evensk,RU,61.95,159.2333,0.79,83,100,15.21,1611619943
Sumenep,ID,-7.0167,113.8667,79.43,79,100,4.41,1611619943
Delhi,IN,28.6667,77.2167,46.4,93,0,4.59,1611619944
Durban,ZA,-29.8579,31.0292,72.0,83,75,1.14,1611619944
Khanskaya,RU,44.677,39.9616,46.35,59,100,17.05,1611619944
Gryazovets,RU,58.88,40.2525,30.11,98,100,7.67,1611619944
Sainte-Anne-des-Monts,CA,49.124,-66.4924,26.6,93,100,17.27,1611619944
Kitimat,CA,54.0524,-128.6534,28.99,86,27,2.48,1611619714
Podor,MR,16.6527,-14.9587,73.4,25,0,2.3,1611619944
Acarí,PE,-15.4311,-74.6158,73.74,65,14,5.44,1611619944
Kruisfontein,ZA,-34.0033,24.7314,63.0,89,0,1.01,1611619944
Pointe Michel,DM,15.25,-61.3833,76.73,76,97,11.7,1611619944
Holbeach,GB,52.804,0.0144,33.01,80,2,9.51,1611619945
Mengcheng,CN,33.2579,116.5655,38.61,80,73,8.19,1611619945
Kutum,SD,14.2,24.6667,56.61,30,74,7.34,1611619945
Lufilufi,WS,-13.8745,-171.5986,78.8,89,90,18.41,1611619945
Vredendal,ZA,-31.6683,18.5012,61.48,90,0,6.24,1611619945
Salym,RU,60.0625,71.4789,-13.2,89,100,10.0,1611619945
Barão de Melgaço,BR,-16.1944,-55.9675,80.6,74,0,4.61,1611619945
Rafrāf,TN,37.1904,10.1837,59.0,67,20,10.36,1611619945
Airai,TL,-8.9266,125.4092,65.59,99,98,3.22,1611619945
Torbay,CA,47.6666,-52.7314,28.99,93,90,8.05,1611619945
Dehlorān,IR,32.6941,47.2679,53.46,39,0,1.77,1611619946
Comodoro Rivadavia,AR,-45.8667,-67.5,68.0,22,20,20.71,1611619946
Suntar,RU,62.1444,117.6319,-46.17,77,51,2.44,1611619946
Moshupa,BW,-24.7782,25.4155,69.8,100,75,14.97,1611619946
Sistranda,NO,63.7256,8.834,30.2,86,75,9.22,1611619946
Laguna,US,38.421,-121.4238,53.6,30,1,9.22,1611619946
Salalah,OM,17.0151,54.0924,71.6,35,0,9.22,1611619946
Vardø,NO,70.3705,31.1107,28.4,80,75,10.36,1611619947
Tynda,RU,55.1667,124.7167,-14.57,88,100,4.32,1611619947
Mount Gambier,AU,-37.8333,140.7667,62.6,77,40,12.66,1611619947
Praxédis Guerrero,MX,31.3667,-106.0167,51.8,28,1,17.27,1611619947
La Ronge,CA,55.1001,-105.2842,-16.6,69,46,1.14,1611619947
Sevsk,RU,52.1491,34.4926,34.65,89,100,19.55,1611619947
Bloemfontein,ZA,-29.1211,26.214,64.4,88,99,5.75,1611619947
Brae,GB,60.3964,-1.353,35.6,69,76,9.22,1611619947
Manitouwadge,CA,49.1215,-85.8403,1.4,85,98,4.09,1611619947
San Lazaro,BZ,18.0387,-88.6622,80.6,83,75,11.5,1611619948
Nara,JP,34.6851,135.8049,50.0,87,75,3.44,1611619948
Pervomayskiy,RU,53.2485,40.2871,30.99,88,100,14.81,1611619948
Port Hedland,AU,-20.3167,118.5667,80.6,65,93,8.05,1611619948
Seydi,TM,39.4816,62.9137,27.99,94,0,8.84,1611619948
Zhezkazgan,KZ,47.8043,67.7144,4.82,94,81,1.7,1611619948
La Ligua,CL,-32.4524,-71.2311,59.0,88,20,6.91,1611619687
Mayumba,GA,-3.432,10.6554,78.31,87,83,3.91,1611619948
